,transcript_file,speaker_code,transcript_clean,is_grammatical,note
4277,Suppes/021006.cha,CAR,it's a little baby carriage.,,
4278,Suppes/021006.cha,CHI,oh.,,
4279,Suppes/021006.cha,CHI,then what is this?,1,
4280,Suppes/021006.cha,CHI,what are these thing?,-1,
4281,Suppes/021006.cha,CAR,that's a little crib.,,
4282,Suppes/021006.cha,CHI,oh with a baby in it?,1,
4283,Suppes/021006.cha,CHI,let me take it out of there.,1,
4284,Suppes/021006.cha,CAR,here.,,
4285,Suppes/021006.cha,CAR,what are those things?,,
4286,Suppes/021006.cha,CAR,these are the wheels of the carriage.,,
4287,Suppes/021006.cha,CAR,shall we put them in place?,,
4288,Suppes/021006.cha,CHI,yup.,,
4289,Suppes/021006.cha,CHI,put them on the carriage.,0,not sure if imp
4290,Suppes/021006.cha,CHI,and who's in there?,1,
4291,Suppes/021006.cha,CHI,that's another little baby.,1,
4292,Suppes/021006.cha,CHI,he wants to come out of his crib.,1,
4293,Suppes/021006.cha,CAR,look.,,
4294,Suppes/021006.cha,CHI,yeah.,,
4295,Suppes/021006.cha,CHI,this baby.,-1,
4296,Suppes/021006.cha,CHI,this baby is here.,1,
4297,Suppes/021006.cha,CHI,where the mother to push him?,-1,
4298,Suppes/021006.cha,CHI,where's the mother to push him?,1,not sure
4299,Suppes/021006.cha,CAR,I guess you'll be his mother.,,
4300,Suppes/021006.cha,CHI,this one?,1,not sure
4301,Suppes/021006.cha,CHI,this one?,1,
4302,Suppes/021006.cha,CAR,you can be the mother of the baby okay?,,
4303,Suppes/021006.cha,CHI,nope I won't.,1,
4304,Suppes/021006.cha,CAR,you don't wanna be the mother of the baby?,,
4305,Suppes/021006.cha,CHI,yup.,,
4306,Suppes/021006.cha,CHI,I do.,1,
4307,Suppes/021006.cha,CAR,you do?,,
4308,Suppes/021006.cha,CHI,them both of them are going to go there.,1,reform
4309,Suppes/021006.cha,CAR,both of who are going to go there?,,
4310,Suppes/021006.cha,CHI,the babies are.,1,
4311,Suppes/021006.cha,CHI,this baby wants to go.,1,
4312,Suppes/021006.cha,CAR,where's the baby?,,
4313,Suppes/021006.cha,CHI,this baby's going to share the carriage.,1,
4314,Suppes/021006.cha,CAR,in the carriage?,,
4315,Suppes/021006.cha,CHI,he's going to.,-1,
4316,Suppes/021006.cha,CHI,he's going to go in the carriage.,1,
4317,Suppes/021006.cha,CHI,see.,,
4318,Suppes/021006.cha,CHI,I'm going to be the mother.,1,
4319,Suppes/021006.cha,CHI,both of them going to go in the carriage.,-1,208
4320,Suppes/021006.cha,CHI,see.,,
4321,Suppes/021006.cha,CAR,where are you going to take the carriage?,,
4322,Suppes/021006.cha,CAR,um?,,
4323,Suppes/021006.cha,CHI,take the babies out of there.,0,not sure if imp
4324,Suppes/021006.cha,CAR,are you going to take them to the park?,,
4325,Suppes/021006.cha,CHI,yup.,,
4326,Suppes/021006.cha,CHI,I take the babies to the park.,-1,"taking, take wouldn't make sense here"
4327,Suppes/021006.cha,CAR,you're going to do what?,,
4328,Suppes/021006.cha,CHI,going to take the babies to the park.,1,"208, no subject, e.g. 'going to leave'"
4329,Suppes/021006.cha,CAR,you are?,,
4330,Suppes/021006.cha,CAR,what are they going to do at the park?,,
4331,Suppes/021006.cha,CHI,play.,,
4332,Suppes/021006.cha,CAR,with what?,,
4333,Suppes/021006.cha,CHI,with toys.,1,
4334,Suppes/021006.cha,CAR,would you like to go to the park?,,
4335,Suppes/021006.cha,CHI,yup.,,
4336,Suppes/021006.cha,CAR,which park shall we go to?,,
4337,Suppes/021006.cha,CHI,to to the zoo.,1,
4338,Suppes/021006.cha,CAR,oh you'd like to go to the zoo.,,
4339,Suppes/021006.cha,CAR,did we go to the park last week end?,,
4340,Suppes/021006.cha,CHI,yup.,,
4341,Suppes/021006.cha,CAR,what did you do at the park with Becky and Miriam?,,
4342,Suppes/021006.cha,CHI,I swim.,-1,
4343,Suppes/021006.cha,CAR,you did?,,
4344,Suppes/021006.cha,CAR,was it fun?,,
4345,Suppes/021006.cha,CHI,yeah.,,
4346,Suppes/021006.cha,CHI,we're going to the park.,1,
4347,Suppes/021006.cha,CHI,there's a little grandmothers.,-1,
4348,Suppes/021006.cha,CAR,what?,,
4349,Suppes/021006.cha,CHI,there's a grand.,-1,
4350,Suppes/021006.cha,CHI,there's a mothers.,-1,
4351,Suppes/021006.cha,CAR,oh those are the mothers.,,
4352,Suppes/021006.cha,CAR,that's the little package that the carriage was in.,,
4353,Suppes/021006.cha,CHI,yup.,,
4354,Suppes/021006.cha,CAR,and those are the pictures of the mothers of whom?,,
4355,Suppes/021006.cha,CHI,yeah.,,
4356,Suppes/021006.cha,CAR,who are they the mothers of?,,
4357,Suppes/021006.cha,CHI,of whom?,1,returns the question?
4358,Suppes/021006.cha,CAR,of the babies?,,
4359,Suppes/021006.cha,CHI,yup.,,
4360,Suppes/021006.cha,CHI,the little babies?,1,clarificatory question
4361,Suppes/021006.cha,CAR,do you think you'll take care of their babies?,,
4362,Suppes/021006.cha,CHI,yeah.,,
4363,Suppes/021006.cha,CHI,yup.,,
4364,Suppes/021006.cha,CAR,maybe the babies would like something to eat.,,
